radix,infinitve,1.pers-singular-präsens,2.pers-singular-präsens,3.pers-singular-präsens,1.pers-singular-präteritum,partizip 2,1.pers-konjunktiv 2,imperativ-singular,imperativ-plural,hilfsverb
einfett,einfetten,fette ein,fettest ein,fettet ein,fettete ein,eingefettet,fettete ein,fett ein,fettet ein,haben
unterheb,unterheben,hebe unter,hebst unter,hebt unter,hob unter,untergehoben,höbe unter,hebe unter,hebt unter,haben
einfüll,einfüllen,fülle ein,füllst ein,füllt ein,füllte ein,eingefüllt,füllte ein,füll ein,füllt ein,haben
verquirl,verquirlen,verquirle,verquirlst,verquirlt,verquirlte,verquirlt,verquirlte,verquirl,verquirlt,haben
übergieß,übergießen,gieße über,gießt über,gießt über,goss über,übergegossen,gösse über,gieß über,gießt über,haben
aufgieß,aufgießen,gieße auf,gießt auf,gießt auf,goss auf,aufgegossen,gösse auf,gieß auf,gießt auf,haben
abtropf,abtropfen,tropfe ab,tropfst ab,tropft ab,tropfte ab,abgetropft,tropfte ab,tropfe ab,tropft ab,sein
aufwart,aufwarten,warte auf,wartest auf,wartet auf,wartete auf,aufgewartet,wartete auf,warte auf,wartet auf,haben
mumpel,mumpeln,mumpele,mumpelst,mumpelt,mumpelte,gemumpelt,mumpelte,mumpele,mumpelt,haben
anreiß,anreißen,reiße an,reißt an,reißt an,riss an,angerissen,risse an,reiße an,reißt an,haben
akkordier,akkordieren,akkordiere,akkordierst,akkordiert,akkordierte,akkordiert,akkordierte,akkordier,akkordiert,haben
überhöh,überhöhen,überhöhe,überhöhst,überhöht,überhöhte,überhöht,überhöhte,überhöh,überhöht,haben
verzerr,verzerren,verzerre,verzerrst,verzerrt,verzerrte,verzerrt,verzerrte,verzerr,verzerrt,haben
erdreist,erdreisten,erdreiste,erdreistest,erdreistet,erdreistete,erdreistet,erdreistete,erdreist,erdreistet,haben
anknüpf,anknüpfen,knüpfe an,knüpfst an,knüpft an,knüpfte an,angeknüpft,knüpfte an,knüpf an,knüpft an,haben
bezweifel,bezweifeln,bezweifle,bezweifelst,bezweifelt,bezweifelte,bezweifelt,bezweifelte,bezweifle,bezweifelt,haben
henk,henken,henke,henkst,henkt,henkte,gehenkt,henkte,henk,henkt,haben
aufzwing,aufzwingen,zwinge auf,zwingst auf,zwingt auf,zwang auf,aufgezwungen,zwänge auf,zwinge auf,zwingt auf,haben
pluster,plustern,plustere,plusterst,plustert,plusterte,geplustert,plusterte,pluster,plustert,haben
zahn,zahnen,zahne,zahnst,zahnt,zahnte,gezahnt,zahnte,zahne,zahnt,haben
drängel,drängeln,drängle,drängelst,drängelt,drängelte,gedrängelt,drängelte,drängle,drängelt,haben
konferier,konferieren,konferiere,konferierst,konferiert,konferierte,konferiert,konferierte,konferiere,konferiert,haben
gebar,gebaren,gebare,gebarst,gebart,gebarte,gebart,gebarte,gebar,gebart,haben
vollkotz,vollkotzen,kotze voll,kotzt voll,kotzt voll,kotzte voll,vollgekotzt,kotzte voll,kotze voll,kotzt voll,haben
troll,trollen,trolle,trollst,trollt,trollte,getrollt,trollte,trolle,trollt,haben
verpfänd,verpfänden,verpfände,verpfändest,verpfändet,verpfändete,verpfändet,verpfändete,verpfänd,verpfändet,haben
