lemma,word,type
5000-Meter-Lauf,5000-Meter-Lauf,noun
5000-m-Lauf,5000-m-Lauf,noun
50er,50er,noun
59-Jähriger,,noun
5G-Auktion,5G-Auktion,noun
6-Uhr-Vorstellung,6-Uhr-Vorstellung,noun
6-Uhr-Zug,6-Uhr-Zug,noun
6-Zimmer-Wohnung,6-Zimmer-Wohnung,noun
60-Sekunden-Takt,60-Sekunden-Takt,noun
7-Tage-Inzidenz,7-Tage-Inzidenz,noun
7-Tage-R,7-Tage-R,noun
7-Uhr-Vorstellung,7-Uhr-Vorstellung,noun
7-Uhr-Zug,7-Uhr-Zug,noun
7-Zimmer-Wohnung,7-Zimmer-Wohnung,noun
8-Stunden-Tag,8-Stunden-Tag,noun
8-Tonner,8-Tonner,noun
8-Uhr-Vorstellung,8-Uhr-Vorstellung,noun
8-Uhr-Zug,8-Uhr-Zug,noun
90-Minüter,90-Minüter,noun
95 Thesen,,noun
A,A,noun
A-Achse,A-Achse,noun
A-Auswahl,A-Auswahl,noun
A-Bombe,A-Bombe,noun
A-Dur,A-Dur,noun
A-Dur-Tonleiter,A-Dur-Tonleiter,noun
A-Jugend,A-Jugend,noun
A-Jugendliche,,noun
A-Nationalmannschaft,A-Nationalmannschaft,noun
A-Saite,A-Saite,noun
A-Säule,A-Säule,noun
A-a,A-a,noun
A-cappella-Chor,A-cappella-Chor,noun
AB,,noun
ABC,ABC,noun
ABC-Buch,ABC-Buch,noun
ABC-Schütze,ABC-Schütze,noun
ABC-Staaten,,noun
ABC-Tafel,ABC-Tafel,noun
ABC-Trinker,ABC-Trinker,noun
ABC-Waffen,,noun
ABGB,ABGB,noun
ABM-Kraft,ABM-Kraft,noun
ABM-Maßnahme,ABM-Maßnahme,noun
ABS,ABS,noun
ACD,,noun
ACE-Hemmer,ACE-Hemmer,noun
AD,,noun
ADAC,ADAC,noun
ADHS-Kind,ADHS-Kind,noun
ADN,ADN,noun
ADSL,ADSL,noun
ADV,ADV,noun
ADV-Vertrag,ADV-Vertrag,noun
AFC,AFC,noun
AG,AG,noun
AG,AG,noun
AG,AG,noun
AGES,AGES,noun
AHA-Formel,AHA-Formel,noun
AHS,AHS,noun
AIDS-Toter,,noun
AIZ,AIZ,noun
AKH,AKH,noun
AKW,AKW,noun
AKW,,noun
ALARA,ALARA,noun
ALARP,ALARP,noun
ANC,ANC,noun
AOK,AOK,noun
APO,APO,noun
ARBÖ,ARBÖ,noun
ARD,ARD,noun
ARP,ARP,noun
ASCII,ASCII,noun
ASCII-Code,ASCII-Code,noun
ASEAN,ASEAN,noun
ASL-Zeichen,ASL-Zeichen,noun
ASU,ASU,noun
ASVG,ASVG,noun
AStA,AStA,noun
AU-Plakette,AU-Plakette,noun
AVB,,noun
AWG,AWG,noun
AWG,AWG,noun
Aa,Aa,noun
Aa,,noun
Aa,Aa,noun
Aa-Lava,Aa-Lava,noun
Aab,Aab,noun
Aach,Aach,noun
Aach,,noun
Aach,,noun
Aachen,,noun
Aachen,,noun
Aachener,Aachener,noun
Aachenerin,Aachenerin,noun
Aad,Aad,noun
Aak,Aak,noun
Aake,Aake,noun
Aaken,,noun
Aakerbeere,Aakerbeere,noun
Aal,Aal,noun
Aal,,noun
Aalbaum,Aalbaum,noun
Aalbeere,Aalbeere,noun
Aalbeerstrauch,Aalbeerstrauch,noun
Aalbestand,Aalbestand,noun
Aalborg,,noun
Aalbricke,Aalbricke,noun
Aalburg,,noun
Aalbutt,Aalbutt,noun
Aalderk,,noun
Aaldorsch,Aaldorsch,noun
Aaleidechse,Aaleidechse,noun
Aaleisen,Aaleisen,noun
Aalen,,noun
Aalener,Aalener,noun
Aalenerin,Aalenerin,noun
Aalenium,Aalenium,noun
Aalfang,Aalfang,noun
Aalfett,Aalfett,noun
Aalfisch,Aalfisch,noun
Aalfischer,Aalfischer,noun
Aalfischerei,Aalfischerei,noun
Aalfrau,Aalfrau,noun
Aalgabel,Aalgabel,noun
Aalhamen,Aalhamen,noun
Aalhaut,Aalhaut,noun
Aalkasten,Aalkasten,noun
Aalkorb,Aalkorb,noun
Aalkrähe,Aalkrähe,noun
Aall,,noun
Aalleiter,Aalleiter,noun
Aalmolch,Aalmolch,noun
Aalmutter,Aalmutter,noun
Aalmöwe,Aalmöwe,noun
Aalnetz,Aalnetz,noun
Aalpuppe,Aalpuppe,noun
Aalquappe,Aalquappe,noun
Aalraupe,Aalraupe,noun
Aalreuse,Aalreuse,noun
Aalrute,Aalrute,noun
Aalrutte,Aalrutte,noun
Aalräucherei,Aalräucherei,noun
Aalschlange,Aalschlange,noun
Aalschnur,Aalschnur,noun
Aalsmeer,,noun
Aalspeer,Aalspeer,noun
Aalst,,noun
Aalst,,noun
Aalstechen,Aalstechen,noun
Aalstreif,Aalstreif,noun
Aalstreifen,Aalstreifen,noun
Aalstrich,Aalstrich,noun
Aalsuppe,Aalsuppe,noun
Aaltierchen,Aaltierchen,noun
Aaltreppe,Aaltreppe,noun
Aalwanderung,Aalwanderung,noun
Aalwehr,Aalwehr,noun
Aalwels,Aalwels,noun
Aaners,,noun
Aap,Aap,noun
Aar,,noun
Aar,Aar,noun
Aar,,noun
Aarau,,noun
Aare,Aare,noun
Aarestadt,Aarestadt,noun
Aargau,Aargau,noun
Aargauer,Aargauer,noun
Aargauerin,Aargauerin,noun
